Start,Finish,Steps
10-Nov-2015 00:00,11-Nov-2015 00:00,706.0
11-Nov-2015 00:00,12-Nov-2015 00:00,9994.0
12-Nov-2015 00:00,13-Nov-2015 00:00,76.0
13-Nov-2015 00:00,14-Nov-2015 00:00,4946.0
14-Nov-2015 00:00,15-Nov-2015 00:00,4808.0
15-Nov-2015 00:00,16-Nov-2015 00:00,14.0
16-Nov-2015 00:00,17-Nov-2015 00:00,0.0
17-Nov-2015 00:00,18-Nov-2015 00:00,38.0
18-Nov-2015 00:00,19-Nov-2015 00:00,174.0
19-Nov-2015 00:00,20-Nov-2015 00:00,9136.0
20-Nov-2015 00:00,21-Nov-2015 00:00,55.0
21-Nov-2015 00:00,22-Nov-2015 00:00,4139.0
22-Nov-2015 00:00,23-Nov-2015 00:00,12218.1763475971
23-Nov-2015 00:00,24-Nov-2015 00:00,11842.8236524029
24-Nov-2015 00:00,25-Nov-2015 00:00,323.0
25-Nov-2015 00:00,26-Nov-2015 00:00,766.0
26-Nov-2015 00:00,27-Nov-2015 00:00,0.0
27-Nov-2015 00:00,28-Nov-2015 00:00,0.0
28-Nov-2015 00:00,29-Nov-2015 00:00,10232.0
29-Nov-2015 00:00,30-Nov-2015 00:00,0.0
30-Nov-2015 00:00,01-Dec-2015 00:00,4424.0
01-Dec-2015 00:00,02-Dec-2015 00:00,470.0
02-Dec-2015 00:00,03-Dec-2015 00:00,4740.0
03-Dec-2015 00:00,04-Dec-2015 00:00,2925.0
04-Dec-2015 00:00,05-Dec-2015 00:00,587.0
05-Dec-2015 00:00,06-Dec-2015 00:00,20.0
06-Dec-2015 00:00,07-Dec-2015 00:00,19717.0
07-Dec-2015 00:00,08-Dec-2015 00:00,3577.0
08-Dec-2015 00:00,09-Dec-2015 00:00,0.0
09-Dec-2015 00:00,10-Dec-2015 00:00,8402.0
10-Dec-2015 00:00,11-Dec-2015 00:00,7959.0
11-Dec-2015 00:00,12-Dec-2015 00:00,8988.0
12-Dec-2015 00:00,13-Dec-2015 00:00,5662.0
13-Dec-2015 00:00,14-Dec-2015 00:00,9820.0
14-Dec-2015 00:00,15-Dec-2015 00:00,10219.0
15-Dec-2015 00:00,16-Dec-2015 00:00,4161.0
16-Dec-2015 00:00,17-Dec-2015 00:00,15004.0
17-Dec-2015 00:00,18-Dec-2015 00:00,9938.0
18-Dec-2015 00:00,19-Dec-2015 00:00,11091.0
19-Dec-2015 00:00,20-Dec-2015 00:00,26495.1727932127
20-Dec-2015 00:00,21-Dec-2015 00:00,25574.6756529356
21-Dec-2015 00:00,22-Dec-2015 00:00,20700.1515538517
22-Dec-2015 00:00,23-Dec-2015 00:00,16131.0
23-Dec-2015 00:00,24-Dec-2015 00:00,27004.0
24-Dec-2015 00:00,25-Dec-2015 00:00,1855.0
25-Dec-2015 00:00,26-Dec-2015 00:00,0.0
26-Dec-2015 00:00,27-Dec-2015 00:00,6946.0
27-Dec-2015 00:00,28-Dec-2015 00:00,9229.0
28-Dec-2015 00:00,29-Dec-2015 00:00,6986.0
29-Dec-2015 00:00,30-Dec-2015 00:00,19423.0
30-Dec-2015 00:00,31-Dec-2015 00:00,5849.97679687142
31-Dec-2015 00:00,01-Jan-2016 00:00,6937.02320312858
01-Jan-2016 00:00,02-Jan-2016 00:00,4357.0
02-Jan-2016 00:00,03-Jan-2016 00:00,26596.0
03-Jan-2016 00:00,04-Jan-2016 00:00,5328.0
04-Jan-2016 00:00,05-Jan-2016 00:00,12881.0
05-Jan-2016 00:00,06-Jan-2016 00:00,8114.0
06-Jan-2016 00:00,07-Jan-2016 00:00,17415.0
07-Jan-2016 00:00,08-Jan-2016 00:00,13090.0
08-Jan-2016 00:00,09-Jan-2016 00:00,15031.0
09-Jan-2016 00:00,10-Jan-2016 00:00,6641.0
10-Jan-2016 00:00,11-Jan-2016 00:00,6025.0
11-Jan-2016 00:00,12-Jan-2016 00:00,4534.0
12-Jan-2016 00:00,13-Jan-2016 00:00,8259.0
13-Jan-2016 00:00,14-Jan-2016 00:00,7198.0
14-Jan-2016 00:00,15-Jan-2016 00:00,29718.0
15-Jan-2016 00:00,16-Jan-2016 00:00,144.0
16-Jan-2016 00:00,17-Jan-2016 00:00,12568.0
17-Jan-2016 00:00,18-Jan-2016 00:00,7605.0
18-Jan-2016 00:00,19-Jan-2016 00:00,8232.0
19-Jan-2016 00:00,20-Jan-2016 00:00,3470.0
20-Jan-2016 00:00,21-Jan-2016 00:00,4072.0
21-Jan-2016 00:00,22-Jan-2016 00:00,2274.0
22-Jan-2016 00:00,23-Jan-2016 00:00,4188.0
23-Jan-2016 00:00,24-Jan-2016 00:00,3882.0
24-Jan-2016 00:00,25-Jan-2016 00:00,6888.0
25-Jan-2016 00:00,26-Jan-2016 00:00,7229.0
26-Jan-2016 00:00,27-Jan-2016 00:00,12189.0
27-Jan-2016 00:00,28-Jan-2016 00:00,8763.0
28-Jan-2016 00:00,29-Jan-2016 00:00,1968.0
29-Jan-2016 00:00,30-Jan-2016 00:00,2588.0
30-Jan-2016 00:00,31-Jan-2016 00:00,21.0
31-Jan-2016 00:00,01-Feb-2016 00:00,4763.0
01-Feb-2016 00:00,02-Feb-2016 00:00,2295.0
02-Feb-2016 00:00,03-Feb-2016 00:00,3894.0
03-Feb-2016 00:00,04-Feb-2016 00:00,4225.0
04-Feb-2016 00:00,05-Feb-2016 00:00,5739.0
05-Feb-2016 00:00,06-Feb-2016 00:00,5234.0
06-Feb-2016 00:00,07-Feb-2016 00:00,1696.0
07-Feb-2016 00:00,08-Feb-2016 00:00,1286.0
08-Feb-2016 00:00,09-Feb-2016 00:00,1124.0
09-Feb-2016 00:00,10-Feb-2016 00:00,5555.0
10-Feb-2016 00:00,11-Feb-2016 00:00,5448.0
11-Feb-2016 00:00,12-Feb-2016 00:00,10543.0
12-Feb-2016 00:00,13-Feb-2016 00:00,5265.0
13-Feb-2016 00:00,14-Feb-2016 00:00,10527.0
14-Feb-2016 00:00,15-Feb-2016 00:00,1998.0
15-Feb-2016 00:00,16-Feb-2016 00:00,6566.0
16-Feb-2016 00:00,17-Feb-2016 00:00,15490.0
17-Feb-2016 00:00,18-Feb-2016 00:00,4730.0
18-Feb-2016 00:00,19-Feb-2016 00:00,9410.0
19-Feb-2016 00:00,20-Feb-2016 00:00,7567.0
20-Feb-2016 00:00,21-Feb-2016 00:00,2073.0
21-Feb-2016 00:00,22-Feb-2016 00:00,7052.0
22-Feb-2016 00:00,23-Feb-2016 00:00,7206.0
23-Feb-2016 00:00,24-Feb-2016 00:00,6364.0
24-Feb-2016 00:00,25-Feb-2016 00:00,4039.0
25-Feb-2016 00:00,26-Feb-2016 00:00,4917.0
26-Feb-2016 00:00,27-Feb-2016 00:00,2209.0
27-Feb-2016 00:00,28-Feb-2016 00:00,1521.0
28-Feb-2016 00:00,29-Feb-2016 00:00,3681.0
29-Feb-2016 00:00,01-Mar-2016 00:00,12094.0
01-Mar-2016 00:00,02-Mar-2016 00:00,10318.0
02-Mar-2016 00:00,03-Mar-2016 00:00,10234.0
03-Mar-2016 00:00,04-Mar-2016 00:00,7027.0
04-Mar-2016 00:00,05-Mar-2016 00:00,3805.0
05-Mar-2016 00:00,06-Mar-2016 00:00,13076.0
